lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
52558,20134,M,NA,,SS,,,NA,"PARTRIDGE, W H",28-Aug-59,Muscicapidae,Turdus amaurochalinus,Turdus,,ARGENTINA MISIONES PROV  NA TOBUNAS,MISIONES PROV,,,-26.47,-53.9,8/28/1959,1959,8,study skin,NA,,
47818,13665,F,NA,,SS,,,NA,"PARTRIDGE, W H",25-Jun-59,Picidae,Melanerpes flavifrons,Melanerpes,rubriventris,ARGENTINA MISIONES PROV  NA TOBUNAS,MISIONES PROV,,,-26.47,-53.9,6/25/1959,1959,6,study skin,NA,,
83106,,F,NA,,SS,,,28,"KYONGO, J N AND J ITHIA",3-Jul-72,Ploceidae,Ploceus nigerrimus,Ploceus,nigerrimus,KENYA WESTERN PROV KAKAMEGA DIST NA KAKAMEGA FOREST,WESTERN PROV,KAKAMEGA DIST,,0.27,34.88,7/3/1972,1972,7,study skin,NA,Kakamega Dist,Kakamega Dist
6951,2521,M,NA,,SS,,,NA,"DAGGETT, F S",11 SEP 1896,Tyrannidae,Empidonax difficilis,Empidonax,difficilis,UNITED STATES CALIFORNIA LOS ANGELES CO NA PASADENA,CALIFORNIA,LOS ANGELES CO,,34.1444969,-118.1300507,1896-09-11,1896,9,study skin,CA,Los Angeles Co,Los Angeles County
94558,18158,M,NA,,SS,,,NA,"PARTRIDGE, W H",10-Aug-59,Emberizidae,Trichothraupis melanops,Trichothraupis,,ARGENTINA MISIONES PROV  NA TOBUNAS,MISIONES PROV,,,-26.47,-53.9,8/10/1959,1959,8,study skin,NA,,
105719,278,F,NA,,SN,,OVARY GRANULAR,9.5,"CARRION, J M",23-Jul-89,Furnariidae,Xenops minutus,Xenops,ssp,ECUADOR ZAMORA-CHINCHIPE PROV  NA ZAMORA,ZAMORA-CHINCHIPE PROV,,1000 M,NA,NA,7/23/1989,1989,7,complete skeleton,NA,,
111010,,F,NA,,SN,C:12.6; W:91; T:27.0; TAIL:70,OV= 7 X 3,29,"SMITH, M",00 MAY 1999,Muscicapidae,Catharus ustulatus,Catharus,ustulatus,UNITED STATES CALIFORNIA LOS ANGELES CO NA WINDSOR HILLS,CALIFORNIA,LOS ANGELES CO,,33.997458,-118.363266,NA,NA,NA,complete skeleton,CA,Los Angeles Co,Los Angeles County
22447,868,F,NA,Adult,SS,,,NA,"SMITH, AUSTIN P",13-Dec-10,Corvidae,Cyanocorax yncas,Cyanocorax,luxuosus,UNITED STATES TEXAS CAMERON CO NA BROWNSVILLE,TEXAS,CAMERON CO,,25.9342734,-97.4806595,12/13/1910,1910,12,study skin,TX,Cameron Co,Cameron County
40397,,F,NA,,SS,,,NA,"LIMA, J L",19-Aug-58,Ardeidae,Tigrisoma lineatum,Tigrisoma,marmoratum,BRAZIL MATO GROSSO  NA LAGOA DO SACO,MATO GROSSO,,,NA,NA,8/19/1958,1958,8,study skin,NA,,
70140,B914,M,NA,,SS,,TNE,88,"WILLIAMS, A E",9-Dec-68,Alcedinidae,Halcyon malimbica,Halcyon,malimbica,UGANDA TORO KINGDOM BWAMBA CO NA BWAMBA FOREST,TORO KINGDOM,BWAMBA CO,2300 F,0.8,30.15,12/9/1968,1968,12,study skin,NA,Bwamba Co,Bwamba County
26492,,M,NA,Adult,SS,,TE,NA,"WILLIAMS, J G",29-Mar-50,Nectariniidae,Anthreptes collaris,Anthreptes,elachior,KENYA COAST PROV KILIFI DIST NA GEDI,COAST PROV,KILIFI DIST,,-3.3,40.02,3/29/1950,1950,3,study skin,NA,Kilifi Dist,Kilifi Dist
92700,PMG1299,U,NA,,AL,,,NA,,00 XXX 0000,Loriidae,Charmosyna papou,Charmosyna,ssp,   NA ,,,,NA,NA,NA,NA,NA,entire specimen preserved in alcohol,NA,,
101937,282,M,NA,Adult,SS,,T = 1 X 1,6.3,"OHMART, R D",29-Jan-63,Aegithalidae,Psaltriparus minimus,Psaltriparus,ssp,UNITED STATES NEW MEXICO SIERRA CO NA KINGSTON,NEW MEXICO,SIERRA CO,6500 FT,32.9170189,-107.7061424,1/29/1963,1963,1,study skin,NM,Sierra Co,Sierra County
45768,17134,F,NA,,SS,,,NA,"STAGER, K E",7-Jan-64,Muscicapidae,Terpsiphone viridis,Terpsiphone,ferreti,TANZANIA MOROGORO REGN MOROGORO DST NA BUNDUKI,MOROGORO REGN,MOROGORO DST,,-7.03,37.63,1/7/1964,1964,1,study skin,NA,Morogoro Dst,Morogoro Dst
103964,RS-8725,M,NA,,FB,C:39.0; W:315.0; T:37.5; TAIL:140.0,T = 3.2 X 2.8,440,"SPEAR, L",28-Apr-87,Procellariidae,Pterodroma externa,Pterodroma,externa,   NA ,,,,5,-110,4/28/1987,1987,4,flat skin and complete skeleton,NA,,
119145,,M,NA,,SN,,,NA,"LINCOLN, R G",22-Sep-66,Parulidae,Vermivora celata,Vermivora,ssp,UNITED STATES CALIFORNIA LOS ANGELES CO NA LONG BEACH,CALIFORNIA,LOS ANGELES CO,,NA,NA,9/22/1966,1966,9,complete skeleton,CA,Los Angeles Co,Los Angeles County
43216,,M,NA,,SS,,,NA,"DENTE, E",27-Jul-60,Tyrannidae,Megarhynchus pitangua,Megarhynchus,pitangua,BRAZIL MARANHAO  NA IMPERATRIZ,MARANHAO,,,-5.53,-47.48,7/27/1960,1960,7,study skin,NA,,
83850,19743,F,NA,,SS,,ONE,53,"STAGER, K E",20-Feb-73,Meropidae,Merops nubicus,Merops,nubicus,KENYA COAST PROV LAMU DIST NA BODHEI,COAST PROV,LAMU DIST,<100 F,-1.85,40.72,2/20/1973,1973,2,study skin,NA,Lamu Dist,Lamu Dist
10359,2062,M,NA,,SS,,,NA,"DAGGETT, F S",18 APR 1896,Hirundinidae,Tachycineta thalassina,Tachycineta,lepida,UNITED STATES CALIFORNIA LOS ANGELES CO NA PASADENA,CALIFORNIA,LOS ANGELES CO,,34.1444969,-118.1300507,1896-04-18,1896,4,study skin,CA,Los Angeles Co,Los Angeles County
