"","X.2","catalog","genus","species","sex","date","country","county","state","loc","tl","ws","wc","ossif","wt","description","skin","skeleton","tissue","wing","ethanol","year","month","decade","collection","order","family","locality","Sex","X.1","X","lacm","field","laf","age","specnat","measure","gonads","coll","datecoll","spp","ele","lat","lng","Description","abv","cty","cty2","nat","mount","name"
"725",3041,120070,"Dendroica","Setophaga coronata","M","2014-10-08","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,11.9,"complete skeleton",NA,"skel_full",NA,NA,NA,2014,10,2010,"LACM","Passeriformes","Parulidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA WESTWOOD","M",88397,88397,120070,"",8177,"Unassigned","SN","C=9.0; W=77; T=14.7; TAIL=55","LT=2.5X1.0; RT=1.5X0.5","LONGCORE, T","08 OCT 2014","auduboni","",34.0558323,-118.4125592,"complete skeleton","CA","Los Angeles Co","Los Angeles County","skeleton",NA,"LACM 120070"
"726",3043,114212,"Dendroica","Setophaga coronata","U","2005-10-18","UNITED STATES","Orange County","California",NA,NA,NA,NA,NA,9,"study skin","skin_study",NA,NA,NA,NA,2005,10,2000,"LACM","Passeriformes","Parulidae","UNITED STATES CALIFORNIA ORANGE CO NA FOUNTAIN VALLEY","U",88590,88590,114212,"",6594,"Unassigned","SS","W=79","","WETLANDS AND WILDLIFE CARE CENTER","18 OCT 2005","auduboni","",33.7120781,-117.9562607,"study skin","CA","Orange Co","Orange County","study skin",NA,"LACM 114212"
"727",3044,116142,"Catharus","Catharus guttatus","F","2012-11-29","UNITED STATES","Orange County","California",NA,NA,NA,NA,NA,24.2,"study skin","skin_study",NA,NA,NA,NA,2012,11,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA ORANGE CO NA NEWPORT BEACH","F",88649,88649,116142,"39657",7874,"Unassigned","SS","","OV= 4 X 2","WETLANDS AND WILDLIFE CARE CENTER","29 NOV 2012","guttatus","",NA,NA,"study skin","CA","Orange Co","Orange County","study skin",NA,"LACM 116142"
"728",3047,120379,"Catharus","Catharus guttatus","F","2015-01-16","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,14,"study skin","skin_study",NA,NA,NA,NA,2015,1,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA MARINA DEL REY","F",88718,88718,120379,"15-0057",8503,"Unassigned","SS","","OV=5X2, SMOOTH","CALIFORNIA WILDLIFE CENTER","16 JAN 2015","ssp","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 120379"
"729",3048,120222,"Catharus","Catharus guttatus","M","2015-01-02","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,22.8,"study skin","skin_study",NA,NA,NA,NA,2015,1,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA LOS ANGELES","M",88769,88769,120222,"",8303,"Unassigned","SS","","LT= 2.5 X 1.5","DONAHUE, J P","02 JAN 2015","ssp","",NA,NA,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 120222"
"730",3049,121226,"Catharus","Catharus guttatus","F","2017-11-22","UNITED STATES","Orange County","California",NA,NA,NA,NA,NA,17,"study skin","skin_study",NA,NA,NA,NA,2017,11,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA ORANGE CO NA ORANGE","F",88805,88805,121226,"",9068,"Unassigned","SS","","OV=5.0X2.5","ANDERSEN, V","22 NOV 2017","ssp","",NA,NA,"study skin","CA","Orange Co","Orange County","study skin",NA,"LACM 121226"
"731",3050,120336,"Melospiza","Melospiza melodia","M","2014-11-23","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,11.8,"study skin","skin_study",NA,NA,NA,NA,2014,11,2010,"LACM","Passeriformes","Passerellidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA MALIBU","M",88813,88813,120336,"14-3615",8456,"Unassigned","SS","","L+R T=1.5X1.5","CALIFORNIA WILDLIFE CENTER","23 NOV 2014","cooperi","",34.0347371,-118.7354278,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 120336"
"732",3051,120916,"Catharus","Catharus guttatus","F","2016-11-12","UNITED STATES","Orange County","California",NA,NA,NA,NA,NA,18.1,"complete skeleton",NA,"skel_full",NA,NA,NA,2016,11,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA ORANGE CO NA SILVERADO CANYON","F",88827,88827,120916,"",8729,"Unassigned","SN","W=82","OV=2X2, SMOOTH","ERICKSON, R A","12 NOV 2016","ssp","",33.744512,-117.618976,"complete skeleton","CA","Orange Co","Orange County","skeleton",NA,"LACM 120916"
"733",3053,121078,"Dendroica","Setophaga coronata","U","2014-12-20","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,6.9,"complete skeleton",NA,"skel_full",NA,NA,NA,2014,12,2010,"LACM","Passeriformes","Parulidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA VALENCIA","U",88836,88836,121078,"14-3807",NA,"Unassigned","SN","C=11.8; W=71; TAIL=52","NOT FOUND","CALIFORNIA WILDLIFE CENTER","20 DEC 2014","audoboni","",34.4436073,-118.6095314,"complete skeleton","CA","Los Angeles Co","Los Angeles County","skeleton",NA,"LACM 121078"
"734",3054,120380,"Catharus","Catharus guttatus","M","2015-11-06","UNITED STATES","Los Angeles County","California",NA,NA,NA,NA,NA,14,"study skin","skin_study",NA,NA,NA,NA,2015,11,2010,"LACM","Passeriformes","Turdidae","UNITED STATES CALIFORNIA LOS ANGELES CO NA MALIBU","M",88858,88858,120380,"15-3654",8482,"Unassigned","SS","","L+R T=1.5X1.0, BLACK","CALIFORNIA WILDLIFE CENTER","06 NOV 2015","ssp","",34.0333333,-118.65,"study skin","CA","Los Angeles Co","Los Angeles County","study skin",NA,"LACM 120380"
