lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
55573,,M,NA,,SS,,TNE,NA,"ARCHER, A L",31-Mar-63,Muscicapidae,Saxicola torquatus,Saxicola,axillaris,KENYA RIFT VALLEY PROV LAIKIPIA DIST NA NARO MORU,RIFT VALLEY PROV,LAIKIPIA DIST,7000 F,-0.17,37.02,3/31/1963,1963,3,study skin,NA,Laikipia Dist,Laikipia Dist
120600,50811,F,8547,,SS,,"OV=5.0X1.5, GRANULAR",48,WETLANDS AND WILDLIFE CARE CENTER,4-Feb-16,Scolopacidae,Calidris alba,Calidris,,UNITED STATES CALIFORNIA ORANGE CO NA HUNTINGTON BEACH,CALIFORNIA,ORANGE CO,,NA,NA,2/4/2016,2016,2,study skin,CA,Orange Co,Orange County
25868,87,F,NA,,SS,,,NA,"BARROS V, R",8-Nov-53,Fringillidae,Carduelis uropygialis,Carduelis,,CHILE SANTIAGO PROV  NA LO VALDES,SANTIAGO PROV,,2400 M,-33.8,-70.05,11/8/1953,1953,11,study skin,NA,,
9594,DC7187,M,NA,,SS,,,NA,"ALLEN, C A",13-Apr-08,Emberizidae,Melospiza melodia,Melospiza,gouldii,UNITED STATES CALIFORNIA MARIN CO NA NICASIO,CALIFORNIA,MARIN CO,,38.0612183,-122.6984024,4/13/1908,1908,4,study skin,CA,Marin Co,Marin County
107545,,M,NA,,SN,,,310,"PITMAN, R L",8-Nov-87,Falconidae,Milvago chimachima,Milvago,cordatus,PANAMA CHIRIQUI PROV  NA REMEDIOS,CHIRIQUI PROV,,,8.23,-81.85,11/8/1987,1987,11,complete skeleton,NA,,
38053,,F,NA,,SS,,,NA,"OLALLA, A M",31-Aug-57,Psittacidae,Amazona ochrocephala,Amazona,ochrocephala,BRAZIL PARA  NA URUCURITUBA,PARA,,,-3.5,-55.5,8/31/1957,1957,8,study skin,NA,,
106915,A-31,F,NA,,PS,C:62.9L W:215; T:34.8; TAIL:61,OV = 21 X 12; LFOLL = 6,515,"GARRETT, K L",9-Jun-83,Anatidae,Anas clypeata,Anas,,CANADA ALBERTA PROV  NA TILLEY,ALBERTA PROV,,,NA,NA,6/9/1983,1983,6,body (trunk) skeleton only,NA,,
121198,18-1269,M,9033,,SS,,L+R T=5X4,52,CALIFORNIA WILDLIFE CENTER,6-May-18,Picidae,Melanerpes lewis,Melanerpes,,UNITED STATES CALIFORNIA LOS ANGELES CO NA TORRANCE,CALIFORNIA,LOS ANGELES CO,,33.8320503,-118.3349152,5/6/2018,2018,5,study skin,CA,Los Angeles Co,Los Angeles County
103288,1141,M,NA,,SN,C:12.5; W:135.0; T:23.8; TAIL:62.0,T = 4 X 2,28,"PITMAN, R L",14-Nov-83,Hydrobatidae,Oceanodroma tethys,Oceanodroma,ssp,   NA ,,,,2.82,-95,11/14/1983,1983,11,complete skeleton,NA,,
43308,395,M,NA,,SS,,,NA,"DENTE, E",22-May-60,Tyrannidae,Platyrinchus platyrhynchos,Platyrinchus,amazonicus,BRAZIL PARA  NA BELEM-BRASILIA RD,PARA,,,NA,NA,5/22/1960,1960,5,study skin,NA,,
97446,,U,NA,,SN,,,NA,"COURTRIGHT, MARY",10-Apr-77,Troglodytidae,Troglodytes aedon,Troglodytes,parkmanii,UNITED STATES CALIFORNIA LOS ANGELES CO NA ROLLING HILLS,CALIFORNIA,LOS ANGELES CO,,33.75,-118.466667,4/10/1977,1977,4,complete skeleton,CA,Los Angeles Co,Los Angeles County
101159,83-25,M,NA,AD,SS,,T = 3.0 X 2.7; 2.7 X 2.7,4.9,"ATWOOD, J L",9-Mar-83,Muscicapidae,Polioptila melanura,Polioptila,lucida,MEXICO SONORA  NA QUEROBABI,SONORA,,1900 FT,30.0601541,-111.105602,3/9/1983,1983,3,study skin,NA,,
39165,,F,NA,,SS,,,NA,"OLALLA, A M",3-Aug-57,Emberizidae,Ramphocelus carbo,Ramphocelus,carbo,BRAZIL PARA  NA VISTA ALEGRE,PARA,,,NA,NA,8/3/1957,1957,8,study skin,NA,,
42526,90,F,NA,,SS,,,NA,"DENTE, E",11-May-60,Picidae,Celeus elegans,Celeus,jumana,BRAZIL PARA  NA BELEM-BRASILIA RD,PARA,,,NA,NA,5/11/1960,1960,5,study skin,NA,,
87459,,M,NA,,SN,,,NA,,4-Apr-39,Ramphastidae,Ramphastos sulfuratus,Ramphastos,brevicarinatus,   NA ,,,,NA,NA,4/4/1939,1939,4,complete skeleton,NA,,
